Date,Price,Open,High,Low,Vol.,Change %
2022-01-21,3.999,3.838,4.044,3.833,70.26K,5.18%
2022-01-20,3.802,4.015,4.037,3.781,104.20K,-5.68%
2022-01-19,4.031,4.327,4.385,4.01,116.54K,-5.88%
2022-01-18,4.283,4.356,4.39,4.216,119.45K,0.16%
2022-01-17,4.276,4.33,4.353,4.216,,-1.36%
2022-01-16,4.335,4.338,4.35,4.323,,1.71%
2022-01-14,4.262,4.263,4.305,4.097,108.86K,-0.19%
2022-01-13,4.27,4.791,4.844,4.245,221.61K,-12.09%
2022-01-12,4.857,4.225,4.879,4.186,217.50K,14.31%
2022-01-11,4.249,4.119,4.261,4.007,121.62K,4.17%
2022-01-10,4.079,4.144,4.213,3.977,177.63K,4.16%
2022-01-07,3.916,3.86,3.98,3.8,127.01K,2.73%
2022-01-06,3.812,3.842,3.931,3.801,116.58K,-1.80%
2022-01-05,3.882,3.747,3.897,3.717,96.81K,4.44%
2022-01-04,3.717,3.817,3.944,3.709,133.39K,-2.57%
2022-01-03,3.815,3.702,3.858,3.638,99.07K,2.28%
2021-12-31,3.73,3.589,3.794,3.572,93.10K,4.75%
2021-12-30,3.561,3.853,3.966,3.536,124.67K,-11.51%
2021-12-29,4.024,4.08,4.261,3.905,4.82K,-0.76%
2021-12-28,4.055,4.065,4.154,3.955,35.64K,-0.12%
2021-12-27,4.06,3.958,4.087,3.767,38.91K,8.82%
2021-12-23,3.731,3.97,4.006,3.599,82.23K,-6.16%
2021-12-22,3.976,3.87,4.041,3.816,86.62K,2.77%
2021-12-21,3.869,3.84,3.947,3.719,128.44K,0.91%
2021-12-20,3.834,3.645,3.924,3.642,128.58K,3.90%
2021-12-17,3.69,3.783,3.814,3.617,101.63K,-2.02%
2021-12-16,3.766,3.814,3.976,3.729,122.85K,-0.95%
2021-12-15,3.802,3.785,3.926,3.766,110.31K,1.47%
2021-12-14,3.747,3.802,3.84,3.686,116.83K,-1.24%
2021-12-13,3.794,3.975,4.085,3.77,162.59K,-3.34%
2021-12-10,3.925,3.798,3.965,3.76,133.28K,2.91%
2021-12-09,3.814,3.818,3.924,3.725,141.11K,-0.03%
2021-12-08,3.815,3.734,3.931,3.723,146.87K,2.89%
2021-12-07,3.708,3.68,3.829,3.657,162.97K,1.39%
2021-12-06,3.657,3.826,3.886,3.63,176.72K,-11.50%
2021-12-03,4.132,4.105,4.285,4.066,124.77K,1.87%
2021-12-02,4.056,4.265,4.335,4.042,145.51K,-4.74%
2021-12-01,4.258,4.606,4.664,4.22,171.94K,-6.77%
2021-11-30,4.567,4.873,4.9,4.482,171.82K,-5.91%
2021-11-29,4.854,5.199,5.2,4.818,172.47K,-10.89%
2021-11-26,5.447,5.025,5.562,4.983,6.26K,7.08%
2021-11-25,5.087,5.089,5.136,5.029,,0.37%
2021-11-24,5.068,4.992,5.15,4.88,40.86K,2.03%
2021-11-23,4.967,4.796,5.082,4.757,47.43K,3.72%
2021-11-22,4.789,4.91,4.957,4.648,96.19K,-5.45%
2021-11-19,5.065,4.895,5.156,4.838,110.06K,3.33%
2021-11-18,4.902,4.896,5.032,4.83,111.03K,1.79%
2021-11-17,4.816,5.159,5.165,4.8,145.61K,-6.97%
2021-11-16,5.177,5.058,5.394,5.024,141.14K,3.19%
2021-11-15,5.017,4.903,5.065,4.713,117.67K,4.72%
2021-11-12,4.791,5.129,5.141,4.752,137.10K,-6.95%
2021-11-11,5.149,4.917,5.176,4.889,135.95K,5.51%
2021-11-10,4.88,4.962,5.046,4.725,170.39K,-1.99%
2021-11-09,4.979,5.41,5.467,4.91,202.74K,-8.26%
2021-11-08,5.427,5.605,5.663,5.38,154.22K,-1.61%
2021-11-05,5.516,5.67,5.76,5.501,133.34K,-3.50%
2021-11-04,5.716,5.86,5.876,5.535,147.04K,0.81%
2021-11-03,5.67,5.553,5.865,5.465,141.50K,2.31%
2021-11-02,5.542,5.22,5.565,5.206,153.76K,6.86%
2021-11-01,5.186,5.31,5.497,5.116,163.26K,-4.42%
2021-10-29,5.426,5.732,5.837,5.401,154.41K,-6.16%
2021-10-28,5.782,6.138,6.206,5.713,165.63K,-6.77%
2021-10-27,6.202,5.858,6.291,5.77,5.78K,5.44%
2021-10-26,5.882,5.959,6.091,5.595,50.71K,-0.27%
2021-10-25,5.898,5.468,6.008,5.462,50.88K,11.70%
2021-10-22,5.28,5.196,5.379,5.121,74.37K,3.23%
2021-10-21,5.115,5.151,5.227,5.006,107.71K,-1.06%
2021-10-20,5.17,5.066,5.221,4.912,140.03K,1.61%
2021-10-19,5.088,4.985,5.1,4.825,152.73K,1.98%
2021-10-18,4.989,5.299,5.37,4.955,167.90K,-7.78%
2021-10-15,5.41,5.641,5.789,5.4,184.58K,-4.87%
2021-10-14,5.687,5.676,5.964,5.604,169.16K,1.74%
2021-10-13,5.59,5.456,5.693,5.35,198.79K,1.54%
2021-10-12,5.505,5.408,5.523,5.168,215.45K,2.99%
2021-10-11,5.345,5.695,5.799,5.308,188.70K,-3.95%
2021-10-08,5.565,5.761,5.876,5.548,163.35K,-1.97%
2021-10-07,5.677,5.71,5.835,5.393,239.50K,0.04%
2021-10-06,5.675,6.321,6.466,5.663,274.65K,-10.09%
2021-10-05,6.312,5.83,6.392,5.79,219.52K,9.47%
2021-10-04,5.766,5.628,6.064,5.628,209.58K,2.62%
2021-10-01,5.619,5.975,6.01,5.533,178.94K,-4.23%
2021-09-30,5.867,5.457,5.994,5.341,243.24K,7.12%
2021-09-29,5.477,5.857,5.955,5.421,226.34K,-6.23%
2021-09-28,5.841,5.8,6.28,5.602,5.66K,2.37%
2021-09-27,5.706,5.191,5.851,5.176,63.07K,11.01%
2021-09-24,5.14,5.036,5.183,4.99,47.44K,3.30%
2021-09-23,4.976,4.758,5.037,4.741,105.20K,3.56%
2021-09-22,4.805,4.811,4.898,4.744,108.78K,0.00%
2021-09-21,4.805,4.962,5.046,4.735,163.10K,-3.61%
2021-09-20,4.985,5.015,5.172,4.905,156.87K,-2.35%
2021-09-17,5.105,5.27,5.394,5.044,164.58K,-4.31%
2021-09-16,5.335,5.41,5.6,5.228,221.14K,-2.29%
2021-09-15,5.46,5.28,5.65,5.266,279.12K,3.80%
2021-09-14,5.26,5.199,5.369,5.171,200.94K,0.55%
2021-09-13,5.231,4.945,5.289,4.879,201.77K,5.93%
2021-09-10,4.938,5.002,5.058,4.913,151.04K,-1.85%
2021-09-09,5.031,4.917,5.047,4.82,234.85K,2.38%
2021-09-08,4.914,4.598,5.01,4.585,244.74K,7.57%
2021-09-07,4.568,4.71,4.774,4.557,163.66K,-2.66%
2021-09-06,4.693,4.724,4.774,4.668,,-0.66%
2021-09-05,4.724,4.727,4.742,4.715,,0.25%
2021-09-03,4.712,4.627,4.718,4.586,110.95K,1.53%
